Track,Player,Placement,GP Number
Airship Fortress,Callum,2,9
Airship Fortress,Connor,5,9
Airship Fortress,Matthew,7,9
Salty Salty Speedway,Tom,1,9
Salty Salty Speedway,Callum,4,9
Salty Salty Speedway,Connor,6,9
Salty Salty Speedway,Matthew,2,9
Wario's Galleon,Tom,2,9
Wario's Galleon,Callum,4,9
Wario's Galleon,Connor,1,9
Wario's Galleon,Matthew,6,9
Moo Moo Meadows,Tom,2,9
Moo Moo Meadows,Callum,4,9
Moo Moo Meadows,Connor,1,9
Moo Moo Meadows,Matthew,3,9
Whistlestop Summit,Tom,1,9
Whistlestop Summit,Callum,5,9
Whistlestop Summit,Connor,2,9
Whistlestop Summit,Matthew,4,9
Dandelion Depths,Tom,9,9
Dandelion Depths,Callum,1,9
Dandelion Depths,Connor,3,9
Dandelion Depths,Matthew,2,9
Cheep Cheep Falls,Tom,6,9
Cheep Cheep Falls,Callum,2,9
Cheep Cheep Falls,Connor,5,9
Cheep Cheep Falls,Matthew,3,9
Peach Beach,Tom,3,9
Peach Beach,Callum,1,9
Peach Beach,Connor,6,9
Peach Beach,Matthew,5,9
Faraway Oasis,Tom,4,9
Faraway Oasis,Callum,1,9
Faraway Oasis,Connor,3,9
Faraway Oasis,Matthew,5,9
DK Pass,Tom,3,9
DK Pass,Callum,1,9
DK Pass,Connor,4,9
DK Pass,Matthew,6,9
Rainbow Road,Tom,3,9
Rainbow Road,Callum,2,9
Rainbow Road,Connor,6,9
Rainbow Road,Matthew,1,9
Koopa Troopa Beach,Tom,3,10
Koopa Troopa Beach,Callum,1,10
Koopa Troopa Beach,Connor,4,10
Koopa Troopa Beach,Matthew,7,10
Whistlestop Summit,Tom,3,10
Whistlestop Summit,Callum,4,10
Whistlestop Summit,Connor,2,10
Whistlestop Summit,Matthew,1,10
DK Pass,Tom,1,10
DK Pass,Callum,3,10
DK Pass,Connor,6,10
DK Pass,Matthew,2,10
Cheep Cheep Falls,Tom,2,10
Cheep Cheep Falls,Callum,1,10
Cheep Cheep Falls,Connor,5,10
Cheep Cheep Falls,Matthew,4,10
Mario Circuit,Tom,5,10
Mario Circuit,Callum,2,10
Mario Circuit,Connor,1,10
